INFO Watching for file changes with StatReloader
DEBUG Waiting for apps ready_event.
DEBUG Apps ready_event triggered. Sending autoreload_started signal.
DEBUG Watching dir C:\Users\DELL\Desktop\django-logging\django_logging\core\templates with glob **/*.
DEBUG Watching dir C:\Users\DELL\Desktop\django-logging\django_logging\locale with glob **/*.mo.
DEBUG Watching dir C:\Users\DELL\Desktop\django-logging\django_logging\core\locale with glob **/*.mo.
DEBUG File C:\Users\DELL\Desktop\python\Lib\gzip.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1634140730.01895
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1634140714.0204093
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1634140729.949903
DEBUG File C:\Users\DELL\Desktop\python\Lib\urllib\__init__.py first seen with mtime 1630380926.0
DEBUG File C:\Users\DELL\Desktop\python\Lib\concurrent\futures\_base.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\forms\utils.py first seen with mtime 1634140731.74614
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1634140731.9034276
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\models\expressions.py first seen with mtime 1634140731.6458354
DEBUG File C:\Users\DELL\Desktop\python\Lib\site.py first seen with mtime 1630380926.0
DEBUG File C:\Users\DELL\Desktop\python\Lib\email\header.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\pytz\tzfile.py first seen with mtime 1634140714.961136
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\contrib\admin\options.py first seen with mtime 1634140718.5604649
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\migrations\migration.py first seen with mtime 1634140731.5611715
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\contrib\auth\signals.py first seen with mtime 1634140721.311345
DEBUG File C:\Users\DELL\Desktop\python\Lib\abc.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\contrib\contenttypes\apps.py first seen with mtime 1634140721.9012766
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\core\management\base.py first seen with mtime 1634140730.102402
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1634140731.677089
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\utils\text.py first seen with mtime 1634140732.08456
DEBUG File C:\Users\DELL\Desktop\python\Lib\http\__init__.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Desktop\python\Lib\encodings\utf_8.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Desktop\python\Lib\email\quoprimime.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1634140732.1578116
DEBUG File C:\Users\DELL\Desktop\python\Lib\asyncio\subprocess.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Desktop\python\Lib\heapq.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\http\__init__.py first seen with mtime 1634140731.8627012
DEBUG File C:\Users\DELL\Desktop\python\Lib\posixpath.py first seen with mtime 1630380926.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1634140714.058212
DEBUG File C:\Users\DELL\Desktop\python\Lib\mimetypes.py first seen with mtime 1630380926.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1634140732.0744176
DEBUG File C:\Users\DELL\Desktop\python\Lib\unittest\suite.py first seen with mtime 1630380926.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1634140731.9542904
DEBUG File C:\Users\DELL\Desktop\python\Lib\stat.py first seen with mtime 1630380926.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\contrib\sessions\backends\__init__.py first seen with mtime 1634140728.770535
DEBUG File C:\Users\DELL\Desktop\python\Lib\tokenize.py first seen with mtime 1630380926.0
DEBUG File C:\Users\DELL\Desktop\python\Lib\decimal.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Desktop\python\Lib\concurrent\__init__.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\utils\regex_helper.py first seen with mtime 1634140732.076483
